NMI,ARI,ACC,dataset,method,backbone,known_cls_ratio,labeled_ratio,cluster_num_factor,logger_file_name,seed
13.01,4.78,30.0,send_new,USNID,bert_USNID,0.25,0.1,1.0,USNID_send_new_bert_USNID_2024-11-02-21-06-49,0
9.88,6.19,30.77,send_new,USNID,bert_USNID,0.25,0.1,2.0,USNID_send_new_bert_USNID_2024-11-02-21-15-05,0
17.1,7.72,30.0,send_new,USNID,bert_USNID,0.25,0.1,3.0,USNID_send_new_bert_USNID_2024-11-02-21-23-44,0
15.21,7.06,29.62,send_new,USNID,bert_USNID,0.5,0.1,1.0,USNID_send_new_bert_USNID_2024-11-02-21-32-20,0
15.21,7.06,29.62,send_new,USNID,bert_USNID,0.5,0.1,2.0,USNID_send_new_bert_USNID_2024-11-02-21-41-06,0
15.51,2.98,24.62,send_new,USNID,bert_USNID,0.5,0.1,3.0,USNID_send_new_bert_USNID_2024-11-02-21-50-29,0
14.47,4.77,28.46,send_new,USNID,bert_USNID,0.75,0.1,1.0,USNID_send_new_bert_USNID_2024-11-02-21-59-56,0
13.32,2.53,26.54,send_new,USNID,bert_USNID,0.75,0.1,2.0,USNID_send_new_bert_USNID_2024-11-02-22-09-23,0
17.27,4.08,23.08,send_new,USNID,bert_USNID,0.75,0.1,3.0,USNID_send_new_bert_USNID_2024-11-02-22-19-08,0
17.24,4.78,31.9,send_new_refined,USNID,bert_USNID,0.25,0.1,1.0,USNID_send_new_refined_bert_USNID_2024-11-03-13-20-30,0
22.19,8.19,33.62,send_new_refined,USNID,bert_USNID,0.25,0.1,2.0,USNID_send_new_refined_bert_USNID_2024-11-03-13-24-46,0
19.42,5.05,31.03,send_new_refined,USNID,bert_USNID,0.25,0.1,3.0,USNID_send_new_refined_bert_USNID_2024-11-03-13-29-09,0
17.33,6.78,35.34,send_new_refined,USNID,bert_USNID,0.5,0.1,1.0,USNID_send_new_refined_bert_USNID_2024-11-03-13-33-29,0
17.1,3.59,30.17,send_new_refined,USNID,bert_USNID,0.5,0.1,2.0,USNID_send_new_refined_bert_USNID_2024-11-03-13-37-40,0
